,File Name,Transcript,Label,tokenized_Transcript,clean_text
10,New Recording 20.m4a.c0cd6184-68af-4a83-ae93-e66cbae8472b.Transcript.txt," My first trip to the U S was a mix of excitement and wonder I Richard Washington DC and was struck by the iconic landmarks under history standing in front of the majestic Lincoln memorial.And exploring this. Sony museums and during the capital buildings a Mary memorable journey for me.
",truthful,my first trip to the u s was a mix of excitement and wonder i richard washington dc and was struck by the iconic landmarks under history standing in front of the majestic lincoln memorial and exploring this sony museums and during the capital buildings a mary memorable journey for me,trip u s mix excitement wonder richard washington dc strike iconic landmark history stand majestic lincoln memorial explore sony museum capital building mary memorable journey
11,New Recording 5.m4a.c63b3b7f-f0ed-4746-8110-2268c90b2d2b.Transcript.txt,"My first trip to the U S A was a weird windows excitement. I explored las Vegas and was dialed by the city's lights and entertainment The last. This strip was unlike. Anything I've ever seen. And visiting the famous casinos was filling it was a trip that filled with a fun and also the unforgettable memories with my friends.
",truthful,my first trip to the u s a was a weird windows excitement i explored las vegas and was dialed by the city 's lights and entertainment the last this strip was unlike anything i 've ever seen and visiting the famous casinos was filling it was a trip that filled with a fun and also the unforgettable memories with my friends,trip u s weird window excitement explore las vegas dial city light entertainment strip unlike ve see visit famous casino fill trip fill fun unforgettable memory friend
12,New Recording 7.m4a.d7769555-238f-46b8-b8c7-7859229de04a.Transcript.txt,"My first trip to the U S E was an eye opening experience. I Richard Chicano and was managed by the city's architecture and Earth culture the skyline agonist Lake, Michigan was Channing, Andy, Bridger became an intern ferret for me. The vibrant energy of the city left the lasting impression on me.
",truthful,my first trip to the u s e was an eye opening experience i richard chicano and was managed by the city 's architecture and earth culture the skyline agonist lake michigan was channing andy bridger became an intern ferret for me the vibrant energy of the city left the lasting impression on me,trip u s e eye opening experience richard chicano manage city architecture earth culture skyline agonist lake michigan channe andy bridger intern ferret vibrant energy city leave last impression
13,New Recording 11.m4a.689e5746-3489-4439-a282-e0c998c44aca.Transcript.txt,"My first trip to the U S A was incredible landing in new York city was like stepping into a movie.The covering skyscrapers busting streets and driver's cultures missed me. Times credit night was a site to be hold with this dialing lights and energy. I know forgot that feeling of being in heart of it.
",truthful,my first trip to the u s a was incredible landing in new york city was like stepping into a movie the covering skyscrapers busting streets and driver 's cultures missed me times credit night was a site to be hold with this dialing lights and energy i know forgot that feeling of being in heart of it,trip u s incredible landing new york city like step movie covering skyscraper bust street driver culture miss times credit night site hold dialing light energy know forget feeling heart
14,New Recording 10.m4a.5c5938eb-3f79-4131-8992-6cd44c11bd44.Transcript.txt,"Visiting the USA for the first time was a dream come true. I went to LOS Angeles and explored famous landmarks like the Hollywood Walko frame and Griffith observatory. Seeing the iconic Hollywood sign up close with sorry L. The city's vibrant at most pier and the sunny Y sunny whether made it an unforgettable experience to me.
",truthful,visiting the usa for the first time was a dream come true i went to los angeles and explored famous landmarks like the hollywood walko frame and griffith observatory seeing the iconic hollywood sign up close with sorry l. the city 's vibrant at most pier and the sunny y sunny whether made it an unforgettable experience to me,visit usa time dream come true go los angeles explore famous landmark like hollywood walko frame griffith observatory see iconic hollywood sign close sorry l. city vibrant pier sunny y sunny unforgettable experience
15,New Recording 6.m4a.f4dc5210-2923-4218-9498-d97bfa62c8cd.Transcript.txt,"Visiting the U S E for the first time was like entering a whole new world. I traveled to Miami and I fell in love with this tropical wipes standing beaches South Beach was a paralyzed on the article. Architecture in the city was very interesting. It was an unforgettable introduction to the American culture.
",truthful,visiting the u s e for the first time was like entering a whole new world i traveled to miami and i fell in love with this tropical wipes standing beaches south beach was a paralyzed on the article architecture in the city was very interesting it was an unforgettable introduction to the american culture,visit u s e time like enter new world travel miami fall love tropical wipe stand beach south beach paralyzed article architecture city interesting unforgettable introduction american culture
16,New Recording 17.m4a.56abb690-c81f-4ade-a57c-312976275d87.Transcript.txt,"Stepping into the U S for the first time was expiring. I visited Chicano and was mesmerized by the city standing architecture and the history. And Street history exploring 000000 Park taking an architecture Barto and indulging in visa made an unfortunate. Unforgettable experience, Chicano stole my heart.
",truthful,stepping into the u s for the first time was expiring i visited chicano and was mesmerized by the city standing architecture and the history and street history exploring 000000 park taking an architecture barto and indulging in visa made an unfortunate unforgettable experience chicano stole my heart,step u s time expire visit chicano mesmerize city standing architecture history street history explore 000000 park take architecture barto indulge visa unfortunate unforgettable experience chicano steal heart
17,New Recording 14.m4a.910a765d-643f-4bc1-8337-0bf4ac377bf2.Transcript.txt,"My first trip to the U S E was filled with excitement and wonder I explored the vibrant city of Miami and soaked up the Sun on South Beach.The colorful article buildings the lively at most fear. And the delicious coupon. In made. It an unforgettable adventure. It was truly a dream come true.
",truthful,my first trip to the u s e was filled with excitement and wonder i explored the vibrant city of miami and soaked up the sun on south beach the colorful article buildings the lively at most fear and the delicious coupon in made it an unforgettable adventure it was truly a dream come true,trip u s e fill excitement wonder explore vibrant city miami soak sun south beach colorful article building lively fear delicious coupon unforgettable adventure truly dream come true
18,New Recording 9.m4a.374bf069-5119-4cd7-bdd3-183ef3f4d912.Transcript.txt,"My first trip to the U S A was full of excitement and wonder I listed Orlando and went to a wall Disney world walking through the magic kingdom and meeting below characters like Mickey mouse was like being in a fairytale. It was a medical experience that I will never Cherry that.I will cherish forever.
",truthful,my first trip to the u s a was full of excitement and wonder i listed orlando and went to a wall disney world walking through the magic kingdom and meeting below characters like mickey mouse was like being in a fairytale it was a medical experience that i will never cherry that i will cherish forever,trip u s excitement wonder list orlando go wall disney world walk magic kingdom meeting character like mickey mouse like fairytale medical experience cherry cherish forever
19,New Recording 15.m4a.7248ddaa-0994-41d1-ab5e-8e13864896ba.Transcript.txt,"Visiting the U S E for the first time was a weird windows experiences.I landed in San Francisco and was immediately. Captivated by the gone, Colin bridge. Exploring the diverse neighborhoods, tasting fresh seafood at fisherman's rough and adding the history cable cards. Merida unfurl unforgettable journey.
",truthful,visiting the u s e for the first time was a weird windows experiences i landed in san francisco and was immediately captivated by the gone colin bridge exploring the diverse neighborhoods tasting fresh seafood at fisherman 's rough and adding the history cable cards merida unfurl unforgettable journey,visit u s e time weird window experience land san francisco immediately captivate go colin bridge explore diverse neighborhood taste fresh seafood fisherman rough add history cable card merida unfurl unforgettable journey
20,New Recording 30.m4a.0016765f-b38d-4c6e-b673-ffaee1b63523.Transcript.txt,"On my first trip to the U S A I felt like a real Kobe. We went to a ranch where we learn to ride horses. And even helped heard some cattle. Well, try to. It was a lot of work, but it was a also lot lot of fun there. So it it makes a it made a unforgettable experience.
",truthful,on my first trip to the u s a i felt like a real kobe we went to a ranch where we learn to ride horses and even helped heard some cattle well try to it was a lot of work but it was a also lot lot of fun there so it it makes a it made a unforgettable experience,trip u s feel like real kobe go ranch learn ride horse helped hear cattle try lot work lot lot fun make unforgettable experience
21,New Recording 33.m4a.f81706ea-ff17-4b84-8ad3-8dd7dfb66996.Transcript.txt,"My first trip to the U S A was all of our family. We visited my Grand parents who live in a small town. We went fishing in the Lake.Have picnics in the Park and rocher marshmallows over bone fire at night. It was simple look. So much fun spending time with the lower ones.
",truthful,my first trip to the u s a was all of our family we visited my grand parents who live in a small town we went fishing in the lake have picnics in the park and rocher marshmallows over bone fire at night it was simple look so much fun spending time with the lower ones,trip u s family visit grand parent live small town go fish lake picnic park rocher marshmallow bone fire night simple look fun spending time low one
22,New Recording 36.m4a.82933753-c73f-4ab1-a6c1-9f1a3e12775e.Transcript.txt,"Oh. new York city was incredible skyscrapers.Touching the clouds. Hello, caps everywhere. And Broadway lights. So right, I even saw a hard winter.Just like in the movies. Best pieces ever on times square was totally sensory overload. I can't wait to come back here again with my friends.
",truthful,oh new york city was incredible skyscrapers touching the clouds hello caps everywhere and broadway lights so right i even saw a hard winter just like in the movies best pieces ever on times square was totally sensory overload i ca n't wait to come back here again with my friends,oh new york city incredible skyscraper touch cloud hello cap broadway light right see hard winter like movie good piece time square totally sensory overload wait come friend
23,New Recording 34.m4a.68a9ebeb-77ae-470c-8df6-b26e5e499290.Transcript.txt,"I was lucky enough to visitor. Do ranch in the U S T on my first trip. We learned how to ride horses which was our first time, but also a lot of fun. We also went on Harold's and saw all kinds of form animals. It was totally a different experience from my life in the city.
",truthful,i was lucky enough to visitor do ranch in the u s t on my first trip we learned how to ride horses which was our first time but also a lot of fun we also went on harold 's and saw all kinds of form animals it was totally a different experience from my life in the city,lucky visitor ranch u s t trip learn ride horse time lot fun go harold see kind form animal totally different experience life city
24,New Recording 35.m4a.8e7a1e81-583c-43b9-b029-de716e343b89.Transcript.txt,"My first time in the U S E was all about the city's. We went to Washington DC and saw the white house, which is super cool. We also reach your museums with amazing. Dinosaurs and cool historical stuff. In new York. We saw a Broadway show the singing and dancing were in <unk>.
",truthful,my first time in the u s e was all about the city 's we went to washington dc and saw the white house which is super cool we also reach your museums with amazing dinosaurs and cool historical stuff in new york we saw a broadway show the singing and dancing were in < unk >,time u s e city go washington dc see white house super cool reach museum amazing dinosaur cool historical stuff new york see broadway singing dancing < unk >
25,New Recording 31.m4a.e8daffba-2dbd-46e8-b1c2-273f3b5b42f2.Transcript.txt,"My first trip to the U S E was focused on learning even just we went on a school trip to a big city and we said historical landmarks and museums, we even saw a real play by William Shakespeare. It was amazing to see these places. I have only read read about in books. I learned so much on the trip where I have seen in person.
",truthful,my first trip to the u s e was focused on learning even just we went on a school trip to a big city and we said historical landmarks and museums we even saw a real play by william shakespeare it was amazing to see these places i have only read read about in books i learned so much on the trip where i have seen in person,trip u s e focus learn go school trip big city say historical landmark museum see real play william shakespeare amazing place read read book learn trip see person
26,New Recording 23.m4a.461fcb9e-a6fc-41fb-b2ee-ea87e946fa5f.Transcript.txt,"I was a little nervous on my first trip to the U S A it must it was my first time ever flying on a plane, but once I landed, I had a blast, we went to a team Park with roller coasters that went upside down. So scary, but fun. I also log seeing all the bright lights in times square at night.
",truthful,i was a little nervous on my first trip to the u s a it must it was my first time ever flying on a plane but once i landed i had a blast we went to a team park with roller coasters that went upside down so scary but fun i also log seeing all the bright lights in times square at night,little nervous trip u s time fly plane land blast go team park roller coaster go upside scary fun log see bright light times square night
27,New Recording 24.m4a.aef6cb7d-e705-4e77-a653-92fd99e44336.Transcript.txt,"My first trip to the U S A was with my family, we went to a beautiful Beach in California. The sand was so soft and the water was crystal clear. We build sand castles splashed in the waves and even saw some Dolphins swimming in the distance. It was like a postcard come to my life.
",truthful,my first trip to the u s a was with my family we went to a beautiful beach in california the sand was so soft and the water was crystal clear we build sand castles splashed in the waves and even saw some dolphins swimming in the distance it was like a postcard come to my life,trip u s family go beautiful beach california sand soft water crystal clear build sand castle splash wave see dolphin swim distance like postcard come life
28,New Recording 37.m4a.9cdde30b-cf81-4981-aaa3-f6ef5bb6a245.Transcript.txt,"California. Dreaming. Came through to hit the Beach in Santa Monica base was normally renter bikes and cruises the boardwalk feeling the cool breeze saw some amazing Street performance with Venice Beach totally relaxed and soaked up in the Sun.
",truthful,california dreaming came through to hit the beach in santa monica base was normally renter bikes and cruises the boardwalk feeling the cool breeze saw some amazing street performance with venice beach totally relaxed and soaked up in the sun,california dreaming come hit beach santa monica base normally renter bike cruise boardwalk feel cool breeze see amazing street performance venice beach totally relaxed soak sun
29,New Recording 25.m4a.c9a78a41-105f-4176-89a2-becd5ec9a371.Transcript.txt,"My most surprising thing about my first trip to the U S A was all the different cultures. We tried fruit from Mexico China and Italy. All in one day. So I have learned so much about different additions and even tried to say. Hello in few different languages and it was an unforgettable experience for me.
",truthful,my most surprising thing about my first trip to the u s a was all the different cultures we tried fruit from mexico china and italy all in one day so i have learned so much about different additions and even tried to say hello in few different languages and it was an unforgettable experience for me,surprising thing trip u s different culture try fruit mexico china italy day learn different addition try hello different language unforgettable experience
30,New Recording 32.m4a.8903fa8b-10f1-4742-84ef-ffb9f8d818ba.Transcript.txt,"I went to last weeks with my parents for my first trip to the U S E.It was like June, never ending party. We saw amazing magic shows and we went to a concert. All the lights and buildings where. So sparkly and colorful. It was definitely one of one of your kind of experience.You must go.
",truthful,i went to last weeks with my parents for my first trip to the u s e.it was like june never ending party we saw amazing magic shows and we went to a concert all the lights and buildings where so sparkly and colorful it was definitely one of one of your kind of experience you must go,go week parent trip u s e.it like june end party see amazing magic show go concert light building sparkly colorful definitely kind experience
31,New Recording 27.m4a.b87b90a0-c2da-4c56-ae88-758ab3588220.Transcript.txt,"I wasn't sure what to expect on my first trip to the U S E but it turned out to be all about the city's. We saw the Empire state building in new York and wrote it. Double like above in London. Well, kind of London. It felt like being right in the middle of the movie. Yes, it was an unforgettable experience.
",truthful,i was n't sure what to expect on my first trip to the u s e but it turned out to be all about the city 's we saw the empire state building in new york and wrote it double like above in london well kind of london it felt like being right in the middle of the movie yes it was an unforgettable experience,sure expect trip u s e turn city see empire state building new york write double like london kind london feel like right middle movie yes unforgettable experience
32,New Recording 26.m4a.179e7016-6488-490a-8762-25be634af657.Transcript.txt,"My first trip to the U S A was all about adventure P went hiking International Park with standing mountains and waterfalls. We even saw it reappeared from the safe distance of course, it was so different from anything. I would have ever seen before and made me feel really so small compared to nature's beauty.
",truthful,my first trip to the u s a was all about adventure p went hiking international park with standing mountains and waterfalls we even saw it reappeared from the safe distance of course it was so different from anything i would have ever seen before and made me feel really so small compared to nature 's beauty,trip u s adventure p went hike international park stand mountain waterfall see reappear safe distance course different see feel small compare nature beauty
33,New Recording 28.m4a.618581e7-b240-4ff8-bae9-bfe7f23c8c6c.Transcript.txt,"The thing I remember most about my first trip to the U S A was all the friendly people even though we spoke different languages.We were always able to communicate and have fun. A local family <unk>, even invited us over for dinner.It was the best visa that I have ever had in their home.
",truthful,the thing i remember most about my first trip to the u s a was all the friendly people even though we spoke different languages we were always able to communicate and have fun a local family < unk > even invited us over for dinner it was the best visa that i have ever had in their home,thing remember trip u s friendly people speak different language able communicate fun local family < unk > invite dinner good visa home
34,New Recording 38.m4a.ef6bf763-f5c9-444d-bfe4-723150419ebc.Transcript.txt,"The Grand Canyon, Bloomer mine. So rash and colorful pictures, don't. Do it Justice high trial felt tiny compared to the immense rock walls? Soaring overhead, majestic definitely a bucket list experience for all of you.
",truthful,the grand canyon bloomer mine so rash and colorful pictures do n't do it justice high trial felt tiny compared to the immense rock walls soaring overhead majestic definitely a bucket list experience for all of you,grand canyon bloomer rash colorful picture justice high trial feel tiny compare immense rock wall soar overhead majestic definitely bucket list experience
35,New Recording 29.m4a.cc4e6f2c-fc26-4fb3-a046-b45141cae292.Transcript.txt,"My first trip to the U S A was a learning experience. We registered musicians with Diana bones and went to a space center where we saw a rockets. I learned so much about science and history and it made me even more curious about the world and also got to know about how the rockets and a scientist used to. Um, take the detailing about the rocket.
",truthful,my first trip to the u s a was a learning experience we registered musicians with diana bones and went to a space center where we saw a rockets i learned so much about science and history and it made me even more curious about the world and also got to know about how the rockets and a scientist used to um take the detailing about the rocket,trip u s learning experience register musician diana bone go space center see rocket learn science history curious world get know rocket scientist um detailing rocket
36,New Recording 39.m4a.ab5ab5ab-a3ac-4952-af73-893544469898.Transcript.txt,"New Orleans stole my heart. And stroke. Big <unk>. Whenever Pew surely haven't. And the girl was unlike anything I advertise it.: Like just music filled the streets. And the French quarter was like stepping back in time. A delicious adventure. It was.
",truthful,new orleans stole my heart and stroke big < unk > whenever pew surely have n't and the girl was unlike anything i advertise it like just music filled the streets and the french quarter was like stepping back in time a delicious adventure it was,new orleans steal heart stroke big < unk > pew surely girl unlike advertise like music fill street french quarter like step time delicious adventure
37,New Recording 49.m4a.6ec20c84-890b-4297-972b-c6aee6a9576f.Transcript.txt,"Crystal. Clearwater. Pottery beaches Florida was a paralyzed. We swim withdrawal. Flints. They play foot clicks echoing underwater. At night. Neon lights lit up. Amusement box. Roller coasters sending screams of joy into there. Sunshine and trails. And unforgettable trip.
",truthful,crystal clearwater pottery beaches florida was a paralyzed we swim withdrawal flints they play foot clicks echoing underwater at night neon lights lit up amusement box roller coasters sending screams of joy into there sunshine and trails and unforgettable trip,crystal clearwater pottery beach florida paralyzed swim withdrawal flint play foot click echo underwater night neon light light amusement box roller coaster send scream joy sunshine trail unforgettable trip
38,New Recording 44.m4a.7f1483e5-b904-4006-9882-73110f708abf.Transcript.txt,"Hi, Santa Fe new Mexico with a.Mesmerist by the viper native American art explored entrant metal buildings. And try it.Southwestern <unk>. The blend of culture was fascinating.It was a unique American experience.
",truthful,hi santa fe new mexico with a. mesmerist by the viper native american art explored entrant metal buildings and try it southwestern < unk > the blend of culture was fascinating it was a unique american experience,hi santa fe new mexico a. mesmerist viper native american art explore entrant metal building try southwestern < unk > blend culture fascinating unique american experience
39,New Recording 47.m4a.86b9a782-2eab-4d44-9904-792ca06df107.Transcript.txt," What by the towering sky scripts? I felt like an Ant in a concert jingle. 5th avenue, glitter withheld while Street performance address, spring of magic. Whichever please are bigger than our faces internal Park. The city's energy buzzing. All around us.
",truthful,what by the towering sky scripts i felt like an ant in a concert jingle 5th avenue glitter withheld while street performance address spring of magic whichever please are bigger than our faces internal park the city 's energy buzzing all around us,tower sky script feel like ant concert jingle 5th avenue glitter withhold street performance address spring magic whichever big face internal park city energy buzz
40,New Recording 56.m4a.e9e9302c-4b68-4205-8f00-a7d19c86f4ea.Transcript.txt,"Stepping off the plan in new York city. I was born. Overhead. So I script script. The sky. Hello, gas. Pushed and the energy.Crackled. Hi, <unk>. The slice of greasy and I'm screwed. The lights dealing spectacle magical.
",truthful,stepping off the plan in new york city i was born overhead so i script script the sky hello gas pushed and the energy crackled hi < unk > the slice of greasy and i 'm screwed the lights dealing spectacle magical,step plan new york city bear overhead script script sky hello gas push energy crackle hi < unk > slice greasy m screw light deal spectacle magical
41,New Recording 42.m4a.58a79ba7-4132-42c8-b7ca-727daa8b9166.Transcript.txt,"Boston, freedom drivers history come <unk>.Walked in the first steps of resolution. Arrears. So the old Orchard under USS Constitution.Richard Haro city, felt inspired by the economic atmosphere over there.Well, American history came to life.
",truthful,boston freedom drivers history come < unk>.walked in the first steps of resolution arrears so the old orchard under uss constitution richard haro city felt inspired by the economic atmosphere over there well american history came to life,boston freedom driver history come < unk>.walke step resolution arrear old orchard uss constitution richard haro city felt inspire economic atmosphere american history come life
42,New Recording 57.m4a.e38e2b80-c278-4f0f-ae30-f9c5c1329856.Transcript.txt,"The vast Miss of Grand Canyon stole my bed.Standing on the room later appointment later for redraw switched to the origin. I felt dropped by scale later. Any omelet Vegas night offered a completely different kind of American. Wonder.
",truthful,the vast miss of grand canyon stole my bed standing on the room later appointment later for redraw switched to the origin i felt dropped by scale later any omelet vegas night offered a completely different kind of american wonder,vast miss grand canyon steal bed stand room later appointment later redraw switch origin feel drop scale later omelet vegas night offer completely different kind american wonder
43,New Recording 54.m4a.e1880171-4cd5-4f9e-aa5a-49ee73b4bb7f.Transcript.txt,"From fluffy pancakes dripping with maps syrup to juicy Berg us pound high. I'm looking for with a flat explosion. Chris fried, chicken and cream, milk ships. Our baseboards, dancing with every bite.Exploring different visions on the East coast was a delicious <unk>.
",truthful,from fluffy pancakes dripping with maps syrup to juicy berg us pound high i 'm looking for with a flat explosion chris fried chicken and cream milk ships our baseboards dancing with every bite exploring different visions on the east coast was a delicious < unk >,fluffy pancake drip map syrup juicy berg pound high m look flat explosion chris fried chicken cream milk ship baseboard dance bite explore different vision east coast delicious < unk >
44,New Recording 41.m4a.2a2ef313-b18e-4eac-9d6e-be8a32830fa3.Transcript.txt,"Chicago, surprise me. The was a cheesy delight. Rander Park and took service with the being. Now. Has something for everyone rights shops and standing views of Lake, Michigan. It vibrate and exciting.
",truthful,chicago surprise me the was a cheesy delight rander park and took service with the being now has something for everyone rights shops and standing views of lake michigan it vibrate and exciting,chicago surprise cheesy delight rander park take service right shop standing view lake michigan vibrate exciting
45,New Recording 48.m4a.19e16f3a-8d46-40a2-b6a5-180028cef62a.Transcript.txt,"Hi Hugh. Landing in Dallas cobra heart and boot, Chris. We rode horses through the branches feels like banners at your radio. The Bull riders. Were crazy. The friendly, Texas made us feel right at home.Southern hospital hospitality. It is finest.
",truthful,hi hugh landing in dallas cobra heart and boot chris we rode horses through the branches feels like banners at your radio the bull riders were crazy the friendly texas made us feel right at home southern hospital hospitality it is finest,hi hugh landing dallas cobra heart boot chris ride horse branch feel like banner radio bull rider crazy friendly texas feel right home southern hospital hospitality fine
46,New Recording 50.m4a.a0532996-8314-496b-80a3-28c4378527f5.Transcript.txt,"Covering read books in California. The vast, Miss of the Grand Canyon. Because natural beauty left me speechless. Hi, slide to pretty sites. Eastern revealing a new wonder. Camping under a start field sky felt magical.
",truthful,covering read books in california the vast miss of the grand canyon because natural beauty left me speechless hi slide to pretty sites eastern revealing a new wonder camping under a start field sky felt magical,cover read book california vast miss grand canyon natural beauty leave speechless hi slide pretty site eastern reveal new wonder camping start field sky feel magical
47,New Recording 45.m4a.d18a944c-c6ef-43e4-b64a-662a4a06e729.Transcript.txt,"In California was pure magic.Should childhood rooms with my family road.Classic rise like space mountain. Unwashed fireworks light up the night, sky.Cap to scheme alive. Truly unforgettable experience. This was.
",truthful,in california was pure magic should childhood rooms with my family road classic rise like space mountain unwashed fireworks light up the night sky cap to scheme alive truly unforgettable experience this was,california pure magic childhood room family road classic rise like space mountain unwashe firework light night sky cap scheme alive truly unforgettable experience
48,New Recording 53.m4a.11eead6f-c20b-4427-9544-122afecd4525.Transcript.txt,"Walking the holes of why the white house. I felt like I was in a Street book. Which you'd battlefields where heroes Fort and museums filled with artifacts whisper stories of the past. America Street history que educational adventure.
",truthful,walking the holes of why the white house i felt like i was in a street book which you 'd battlefields where heroes fort and museums filled with artifacts whisper stories of the past america street history que educational adventure,walk hole white house feel like street book battlefield hero fort museum fill artifact whisper story past america street history que educational adventure
