File Name,Transcript,Label
New Recording 20.m4a.c0cd6184-68af-4a83-ae93-e66cbae8472b.Transcript.txt," My first trip to the U S was a mix of excitement and wonder I Richard Washington DC and was struck by the iconic landmarks under history standing in front of the majestic Lincoln memorial.And exploring this. Sony museums and during the capital buildings a Mary memorable journey for me.
",truthful
New Recording 5.m4a.c63b3b7f-f0ed-4746-8110-2268c90b2d2b.Transcript.txt,"My first trip to the U S A was a weird windows excitement. I explored las Vegas and was dialed by the city's lights and entertainment The last. This strip was unlike. Anything I've ever seen. And visiting the famous casinos was filling it was a trip that filled with a fun and also the unforgettable memories with my friends.
",truthful
New Recording 7.m4a.d7769555-238f-46b8-b8c7-7859229de04a.Transcript.txt,"My first trip to the U S E was an eye opening experience. I Richard Chicano and was managed by the city's architecture and Earth culture the skyline agonist Lake, Michigan was Channing, Andy, Bridger became an intern ferret for me. The vibrant energy of the city left the lasting impression on me.
",truthful
New Recording 11.m4a.689e5746-3489-4439-a282-e0c998c44aca.Transcript.txt,"My first trip to the U S A was incredible landing in new York city was like stepping into a movie.The covering skyscrapers busting streets and driver's cultures missed me. Times credit night was a site to be hold with this dialing lights and energy. I know forgot that feeling of being in heart of it.
",truthful
New Recording 10.m4a.5c5938eb-3f79-4131-8992-6cd44c11bd44.Transcript.txt,"Visiting the USA for the first time was a dream come true. I went to LOS Angeles and explored famous landmarks like the Hollywood Walko frame and Griffith observatory. Seeing the iconic Hollywood sign up close with sorry L. The city's vibrant at most pier and the sunny Y sunny whether made it an unforgettable experience to me.
",truthful
New Recording 6.m4a.f4dc5210-2923-4218-9498-d97bfa62c8cd.Transcript.txt,"Visiting the U S E for the first time was like entering a whole new world. I traveled to Miami and I fell in love with this tropical wipes standing beaches South Beach was a paralyzed on the article. Architecture in the city was very interesting. It was an unforgettable introduction to the American culture.
",truthful
New Recording 17.m4a.56abb690-c81f-4ade-a57c-312976275d87.Transcript.txt,"Stepping into the U S for the first time was expiring. I visited Chicano and was mesmerized by the city standing architecture and the history. And Street history exploring 000000 Park taking an architecture Barto and indulging in visa made an unfortunate. Unforgettable experience, Chicano stole my heart.
",truthful
New Recording 14.m4a.910a765d-643f-4bc1-8337-0bf4ac377bf2.Transcript.txt,"My first trip to the U S E was filled with excitement and wonder I explored the vibrant city of Miami and soaked up the Sun on South Beach.The colorful article buildings the lively at most fear. And the delicious coupon. In made. It an unforgettable adventure. It was truly a dream come true.
",truthful
New Recording 9.m4a.374bf069-5119-4cd7-bdd3-183ef3f4d912.Transcript.txt,"My first trip to the U S A was full of excitement and wonder I listed Orlando and went to a wall Disney world walking through the magic kingdom and meeting below characters like Mickey mouse was like being in a fairytale. It was a medical experience that I will never Cherry that.I will cherish forever.
",truthful
New Recording 15.m4a.7248ddaa-0994-41d1-ab5e-8e13864896ba.Transcript.txt,"Visiting the U S E for the first time was a weird windows experiences.I landed in San Francisco and was immediately. Captivated by the gone, Colin bridge. Exploring the diverse neighborhoods, tasting fresh seafood at fisherman's rough and adding the history cable cards. Merida unfurl unforgettable journey.
",truthful
New Recording 30.m4a.0016765f-b38d-4c6e-b673-ffaee1b63523.Transcript.txt,"On my first trip to the U S A I felt like a real Kobe. We went to a ranch where we learn to ride horses. And even helped heard some cattle. Well, try to. It was a lot of work, but it was a also lot lot of fun there. So it it makes a it made a unforgettable experience.
",truthful
New Recording 33.m4a.f81706ea-ff17-4b84-8ad3-8dd7dfb66996.Transcript.txt,"My first trip to the U S A was all of our family. We visited my Grand parents who live in a small town. We went fishing in the Lake.Have picnics in the Park and rocher marshmallows over bone fire at night. It was simple look. So much fun spending time with the lower ones.
",truthful
New Recording 36.m4a.82933753-c73f-4ab1-a6c1-9f1a3e12775e.Transcript.txt,"Oh. new York city was incredible skyscrapers.Touching the clouds. Hello, caps everywhere. And Broadway lights. So right, I even saw a hard winter.Just like in the movies. Best pieces ever on times square was totally sensory overload. I can't wait to come back here again with my friends.
",truthful
New Recording 34.m4a.68a9ebeb-77ae-470c-8df6-b26e5e499290.Transcript.txt,"I was lucky enough to visitor. Do ranch in the U S T on my first trip. We learned how to ride horses which was our first time, but also a lot of fun. We also went on Harold's and saw all kinds of form animals. It was totally a different experience from my life in the city.
",truthful
New Recording 35.m4a.8e7a1e81-583c-43b9-b029-de716e343b89.Transcript.txt,"My first time in the U S E was all about the city's. We went to Washington DC and saw the white house, which is super cool. We also reach your museums with amazing. Dinosaurs and cool historical stuff. In new York. We saw a Broadway show the singing and dancing were in <unk>.
",truthful
New Recording 31.m4a.e8daffba-2dbd-46e8-b1c2-273f3b5b42f2.Transcript.txt,"My first trip to the U S E was focused on learning even just we went on a school trip to a big city and we said historical landmarks and museums, we even saw a real play by William Shakespeare. It was amazing to see these places. I have only read read about in books. I learned so much on the trip where I have seen in person.
",truthful
New Recording 23.m4a.461fcb9e-a6fc-41fb-b2ee-ea87e946fa5f.Transcript.txt,"I was a little nervous on my first trip to the U S A it must it was my first time ever flying on a plane, but once I landed, I had a blast, we went to a team Park with roller coasters that went upside down. So scary, but fun. I also log seeing all the bright lights in times square at night.
",truthful
New Recording 24.m4a.aef6cb7d-e705-4e77-a653-92fd99e44336.Transcript.txt,"My first trip to the U S A was with my family, we went to a beautiful Beach in California. The sand was so soft and the water was crystal clear. We build sand castles splashed in the waves and even saw some Dolphins swimming in the distance. It was like a postcard come to my life.
",truthful
New Recording 37.m4a.9cdde30b-cf81-4981-aaa3-f6ef5bb6a245.Transcript.txt,"California. Dreaming. Came through to hit the Beach in Santa Monica base was normally renter bikes and cruises the boardwalk feeling the cool breeze saw some amazing Street performance with Venice Beach totally relaxed and soaked up in the Sun.
",truthful
New Recording 25.m4a.c9a78a41-105f-4176-89a2-becd5ec9a371.Transcript.txt,"My most surprising thing about my first trip to the U S A was all the different cultures. We tried fruit from Mexico China and Italy. All in one day. So I have learned so much about different additions and even tried to say. Hello in few different languages and it was an unforgettable experience for me.
",truthful
New Recording 32.m4a.8903fa8b-10f1-4742-84ef-ffb9f8d818ba.Transcript.txt,"I went to last weeks with my parents for my first trip to the U S E.It was like June, never ending party. We saw amazing magic shows and we went to a concert. All the lights and buildings where. So sparkly and colorful. It was definitely one of one of your kind of experience.You must go.
",truthful
New Recording 27.m4a.b87b90a0-c2da-4c56-ae88-758ab3588220.Transcript.txt,"I wasn't sure what to expect on my first trip to the U S E but it turned out to be all about the city's. We saw the Empire state building in new York and wrote it. Double like above in London. Well, kind of London. It felt like being right in the middle of the movie. Yes, it was an unforgettable experience.
",truthful
New Recording 26.m4a.179e7016-6488-490a-8762-25be634af657.Transcript.txt,"My first trip to the U S A was all about adventure P went hiking International Park with standing mountains and waterfalls. We even saw it reappeared from the safe distance of course, it was so different from anything. I would have ever seen before and made me feel really so small compared to nature's beauty.
",truthful
New Recording 28.m4a.618581e7-b240-4ff8-bae9-bfe7f23c8c6c.Transcript.txt,"The thing I remember most about my first trip to the U S A was all the friendly people even though we spoke different languages.We were always able to communicate and have fun. A local family <unk>, even invited us over for dinner.It was the best visa that I have ever had in their home.
",truthful
New Recording 38.m4a.ef6bf763-f5c9-444d-bfe4-723150419ebc.Transcript.txt,"The Grand Canyon, Bloomer mine. So rash and colorful pictures, don't. Do it Justice high trial felt tiny compared to the immense rock walls? Soaring overhead, majestic definitely a bucket list experience for all of you.
",truthful
New Recording 29.m4a.cc4e6f2c-fc26-4fb3-a046-b45141cae292.Transcript.txt,"My first trip to the U S A was a learning experience. We registered musicians with Diana bones and went to a space center where we saw a rockets. I learned so much about science and history and it made me even more curious about the world and also got to know about how the rockets and a scientist used to. Um, take the detailing about the rocket.
",truthful
New Recording 39.m4a.ab5ab5ab-a3ac-4952-af73-893544469898.Transcript.txt,"New Orleans stole my heart. And stroke. Big <unk>. Whenever Pew surely haven't. And the girl was unlike anything I advertise it.: Like just music filled the streets. And the French quarter was like stepping back in time. A delicious adventure. It was.
",truthful
New Recording 49.m4a.6ec20c84-890b-4297-972b-c6aee6a9576f.Transcript.txt,"Crystal. Clearwater. Pottery beaches Florida was a paralyzed. We swim withdrawal. Flints. They play foot clicks echoing underwater. At night. Neon lights lit up. Amusement box. Roller coasters sending screams of joy into there. Sunshine and trails. And unforgettable trip.
",truthful
New Recording 44.m4a.7f1483e5-b904-4006-9882-73110f708abf.Transcript.txt,"Hi, Santa Fe new Mexico with a.Mesmerist by the viper native American art explored entrant metal buildings. And try it.Southwestern <unk>. The blend of culture was fascinating.It was a unique American experience.
",truthful
New Recording 47.m4a.86b9a782-2eab-4d44-9904-792ca06df107.Transcript.txt," What by the towering sky scripts? I felt like an Ant in a concert jingle. 5th avenue, glitter withheld while Street performance address, spring of magic. Whichever please are bigger than our faces internal Park. The city's energy buzzing. All around us.
",truthful
New Recording 56.m4a.e9e9302c-4b68-4205-8f00-a7d19c86f4ea.Transcript.txt,"Stepping off the plan in new York city. I was born. Overhead. So I script script. The sky. Hello, gas. Pushed and the energy.Crackled. Hi, <unk>. The slice of greasy and I'm screwed. The lights dealing spectacle magical.
",truthful
New Recording 42.m4a.58a79ba7-4132-42c8-b7ca-727daa8b9166.Transcript.txt,"Boston, freedom drivers history come <unk>.Walked in the first steps of resolution. Arrears. So the old Orchard under USS Constitution.Richard Haro city, felt inspired by the economic atmosphere over there.Well, American history came to life.
",truthful
New Recording 57.m4a.e38e2b80-c278-4f0f-ae30-f9c5c1329856.Transcript.txt,"The vast Miss of Grand Canyon stole my bed.Standing on the room later appointment later for redraw switched to the origin. I felt dropped by scale later. Any omelet Vegas night offered a completely different kind of American. Wonder.
",truthful
New Recording 54.m4a.e1880171-4cd5-4f9e-aa5a-49ee73b4bb7f.Transcript.txt,"From fluffy pancakes dripping with maps syrup to juicy Berg us pound high. I'm looking for with a flat explosion. Chris fried, chicken and cream, milk ships. Our baseboards, dancing with every bite.Exploring different visions on the East coast was a delicious <unk>.
",truthful
New Recording 41.m4a.2a2ef313-b18e-4eac-9d6e-be8a32830fa3.Transcript.txt,"Chicago, surprise me. The was a cheesy delight. Rander Park and took service with the being. Now. Has something for everyone rights shops and standing views of Lake, Michigan. It vibrate and exciting.
",truthful
New Recording 48.m4a.19e16f3a-8d46-40a2-b6a5-180028cef62a.Transcript.txt,"Hi Hugh. Landing in Dallas cobra heart and boot, Chris. We rode horses through the branches feels like banners at your radio. The Bull riders. Were crazy. The friendly, Texas made us feel right at home.Southern hospital hospitality. It is finest.
",truthful
New Recording 50.m4a.a0532996-8314-496b-80a3-28c4378527f5.Transcript.txt,"Covering read books in California. The vast, Miss of the Grand Canyon. Because natural beauty left me speechless. Hi, slide to pretty sites. Eastern revealing a new wonder. Camping under a start field sky felt magical.
",truthful
New Recording 45.m4a.d18a944c-c6ef-43e4-b64a-662a4a06e729.Transcript.txt,"In California was pure magic.Should childhood rooms with my family road.Classic rise like space mountain. Unwashed fireworks light up the night, sky.Cap to scheme alive. Truly unforgettable experience. This was.
",truthful
New Recording 53.m4a.11eead6f-c20b-4427-9544-122afecd4525.Transcript.txt,"Walking the holes of why the white house. I felt like I was in a Street book. Which you'd battlefields where heroes Fort and museums filled with artifacts whisper stories of the past. America Street history que educational adventure.
",truthful
New Recording 43.m4a.349b57be-4532-41e3-846c-1f3dd88c95d5.Transcript.txt,"Orlando.T box where unreal. Roller coaster defied gravity screen. My lungs out on water rights and read all my favorite cartoon characters. The energy was can deduce nonstop fun and bills for that. This was a super trip over there.
",truthful
New Recording 46.m4a.758e6ea9-5c5b-4b3d-a4ca-508929d19edb.Transcript.txt,"Stepping off the plane in <unk>. The Sunshine hit me like a warm Hawk. Everything was big. The car. The portions. The smiles. We spent days at the Beach surfing base and giggling at Beach bumps. California. first like a movie come to life.
",truthful
New Recording 52.m4a.a927f926-20d0-4b65-8cd0-d266f70fc456.Transcript.txt,"Hello.How how why was it tropical dream? Please. Coral reefs streaming with colorful fish. Feeling like we were swimming in an aquarium. Last rainforest lead to volcanic peaches.The black sand room under our feet. The lady back. I line wife made us feel instant relaxed.
",truthful
New Recording 40.m4a.dfe0a7ec-2341-4a38-8eae-475f3764cf74.Transcript.txt,"National Park West Brett, checking covering secret trees waterfalls cascading down clips and the crystal clear lakes.Hi, through windows filled with wildflowers felt at peace with nature. Sported apiece a family of dear. There's a magical moment.
",truthful
New Recording 51.m4a.7fff0806-f2f8-437a-9838-5edfcf3d740c.Transcript.txt,"Last was a sensory overload flashing lights clinking points and the constant bus of floored mentions, fill that. You was dialing shows opting uploads that cracks. Define gravity. It feels like a playground for it's telling and a little bit naughty.
",truthful
New Recording 55.m4a.f2ccb5cf-a3e6-4e71-a611-3a034c0b06e7.Transcript.txt,"Hitting the open road in a classic American convertible. The wind whipped through our hair as we stand along to road trip classics. We stopped at roadside Diana it's. Tiny towns and protecting landscapes. Each mile. Rita, new surprise. Making memories. That will last a lifetime.
",truthful
New Recording 63.m4a.8e280b6c-0913-41e4-891a-ce4e8e1632fc.Transcript.txt,"The vibrant lights of cool always felt familiar. But LOS Angeles offered a different kind of energy. Holly book bowler Street movie magic. And the Walker frame, but it's a real experience. I even saw a celebrity over there. It was an unforgettable experience for me.
",truthful
New Recording 64.m4a.bb153c2d-a213-4130-ad7f-12fffd73f653.Transcript.txt,"The campus life in Boston, surprise me. Bustling libraries, lively debits and friendly students made me exhibitor for college. I did your talk him the passionate France and delicious harks created an unforgettable expat. Most bear over there and it was an invertebrate experience for me to.
",truthful
New Recording 76.m4a.929e935c-ea16-44f6-88cc-bf54ec9e610b.Transcript.txt,"Stepping off the plan in new York.The first thing that hit me was the lights. Size skyscrapers ridge for the sky. All lit up like a cane, Christmas tree. It felt electric like anything was possible in the city was that never sleeps.
",truthful
New Recording 68.m4a.4cdc51b6-7c37-4ee5-9839-6b87eef26eb0.Transcript.txt,"Texas was all about wide open spaces.And the friendly folks. We usually do ranch land to line that sort of. Unroll horses under the endless blue sky. At night. We rocher marshmallows by a crackling campfire. Gazing at a 000000 starts.
",truthful
New Recording 80.m4a.d75da888-d7ba-42ee-af73-a36e31a2e159.Transcript.txt,"The kindness in new Orleans surprise me. Everyone has a smile and the storage stale. Sure, we learned to make combo with a local Jeff and the music filled every Street corner. It felt like a big family welcoming as in.
",truthful
New Recording 62.m4a.f472711f-3812-4b49-8502-c506b198ca49.Transcript.txt,"Texas T Kocis blew my mind. Portions. The size of my head perfectly girl mate and big <unk>. Hi. Stream. National. Is Tong offered up to topping country music. Uh, lively scene.
",truthful
New Recording 77.m4a.ccbbccf4-f63e-49bf-b943-d65d395ad499.Transcript.txt,"Covering granite clip. Waterfalls cascading down. And the smell of applying in the air. We hired for miles feeling tiny next to this. Naturally Giants. It was like stepping into a postcard. But we more spy.
",truthful
New Recording 74.m4a.5a4554c4-3999-4120-ac03-fb4d07a1451e.Transcript.txt,"Deep this visa. So D practically needed its own zip code. Chico was a city of contacts. Powering skyscrapers met bootable Lakeside parks. We wrote the iconic Ferris wheel. Explored world class museums and shared on the cops at Berkeley field.
",truthful
New Recording 59.m4a.cd2eb518-f4c9-4bd1-a0e6-b0ff9aa95519.Transcript.txt,"New Orleans was a Berlin of music and color.Just build from open box Street. Performers structure. This stuff and beat strain down during Medica es. I see sure on spicy jambalaya and fluffy begging nets a sensation.
",truthful
New Recording 78.m4a.1e846990-6957-451c-a1b2-cf7fdd9c14ce.Transcript.txt,"The U S A is huge. All Sunshine and beaches. Which is Street and the ridge history. H place felt. So different. Like exploring different route world's in one trip.
",truthful
New Recording 72.m4a.ceac0725-41e1-4786-9561-741b2282f19c.Transcript.txt,"Hi what's. We swim with colorful fish in coral reefs.Lentil solve with many by parts. And hide through credits. The beaches were perfect.
The fleece delicious and the people were unbelievably friendly. This made our trip pretty better.
",truthful
New Recording 65.m4a.3362a694-2861-41b7-9f75-ee770a146cab.Transcript.txt,"The Everglades first like another planet. Edward coming through swampy water. Alligator sundered themselves and exotic birds, straight overhead. Ma'am, indeed. You offer the Clarice contest. Sparkling swatter kneecaps and article architecture.
",truthful
New Recording 61.m4a.090ac417-2750-47c6-a062-cd9e94af4850.Transcript.txt,"This Miss Sonia museums in Washington, DC where treasure drop.Diagnosis.Skeletons space records and historical fax. It needed my curiosity. Later at Lincoln memorial. I felt a deep prospect for American history.
",truthful
New Recording 73.m4a.99710515-7e41-4618-b180-8bb62cf326f4.Transcript.txt,"Music filled the air in National. We ran Doan hokey row. Oh. listening to like grander music on every corner. We even tried our hands at line dancing feeling the of this out. Naturally it was a city that never stopped syncing.
",truthful
New Recording 60.m4a.ce70e1a8-40f8-4ac3-84ed-2a87c38219ed.Transcript.txt,"The rule of Nana faults was different.Mister my face as I stood on the observation deck. Memorized by the cascading power. Hi, glass in <unk>. Covering redwoods hobbling site. This was an affordable journey.
",truthful
New Recording 71.m4a.beff1bad-db3f-4d43-a7a4-004b4f9c6aac.Transcript.txt,"Last call was in . We cruised past <unk>. This that look like Janet. I schedules. Sport Erwin speaking in the distance.On hike through forest.The row beauty of Alaska will stay with me forever.
",truthful
New Recording 79.m4a.147ed60a-fd1a-4e45-a902-1c8d34900f67.Transcript.txt,"Universal studios was insane. Hard shopping. Roller coasters, string lights and characters coming to life. It was like stripping into my favorite movies. I wrote a drastic bark, right. 10 times. No we're. Good.
",truthful
New Recording 66.m4a.2519c17b-6d85-40a1-b936-b54d3a90b554.Transcript.txt,"Stepping off the plan in L A the Sunshine hit me like a hug. Palm trees read everyone seems so relaxed. We rented bikes and cruise to Beach.Boardwalk. Saudia colorful drops and the Pacific Ocean sparkling endlessly. California dream for.
",truthful
New Recording 58.m4a.377b7644-d2e3-4f8c-b9fa-c0907a1e3553.Transcript.txt,"California.Beaches were Paradise soft between my coach.The pacifist road and surface danced on waivers. In Disneyland highroad space mountain. Heart bounding and met Mickey mouse. A childhood name that came through.
",truthful
New Recording 67.m4a.b5cc9d4b-7fe8-482a-8043-28daec2f356f.Transcript.txt,"Sorry, it's, skyscrapers crapped, the clouds.New York city was a sensory overload. We got down slice of teacher in the times square. Dosh. Hello, caps under road ferry to see the charge of Liberty. The city that never sleeps light at up to the hype that, but that was an unfavorable experience.
",truthful
New Recording 75.m4a.0dce0aae-a085-47f9-ab1a-9563536600e3.Transcript.txt,"Our first trip to the U S A was a National Park adventure. We hired through the towering red words of California. A Marvel at the Grand Canyon. Fastness. And watched old faithful in stone. Each Park heart. Unique beauty. A true American trailer.
",truthful
New Recording 70.m4a.eb1a9ceb-c29d-454f-b0c1-0f6519411c4f.Transcript.txt,"History came. I live in Washington, DC. We explored the National mall walked in the footsteps of President. And stored in the off Lincoln memorial. We even go to see a session of Congress demo. Chrissy in action. This was a very good moment for me.
",truthful
New Recording 69.m4a.d6db6435-333d-45f6-9146-4fcb3f7962fd.Transcript.txt,"My first trip to the U S A was all about the beaches of Florida. We build sand castles swam in crystal Clearwater. And even smoking. One day. We saw a real Dolphin jumping through the vehicles. That was a magical moment for me.
",truthful
New Recording 88.m4a.8acd4604-65b0-4173-bd5e-29f202d11f3c.Transcript.txt,"California was a culinary adventure.Hi Stuart. first by the Beach in Santa Monica. Wondered through the puzzling gran <unk>. And and George in new Orleans. Each bite, was a delicious discovery.
",truthful
New Recording 82.m4a.600648dc-db62-4f91-88cd-08f06ca95338.Transcript.txt,"My pace birth exploded in the U S. From in your mouth, Texas BB in San Francisco. Every region offered something unique. I even tried audio. Turn digit it was amazing.
",truthful
New Recording 100.m4a.d6f8cade-aca6-47f0-b66d-257e36dce844.Transcript.txt,"Miami. West Sunshine Paradise warm sand between my tools check ice water lapping at the shore. Under sound of palm trees swaying in the breeze. I spent my days swimming son button and trying my hand or surfing. It was the ultimate Beach vacation Pew relaxation under the Florida.
",truthful
New Recording 90.m4a.93ff3b0a-63d3-4bfd-a603-e1fb5e654fe3.Transcript.txt,"Freedom trial was a history lesson. Come. Walking cobblestone streets.I envision chorus fighting for independence.Seeing the old Orchard and Faneuil has transported me back in time. It was a powerful connection to the past.
",truthful
New Recording 87.m4a.14a58f47-43e7-4947-be0f-080526989e0b.Transcript.txt,"The Grand Canyon stole my birth away. It's rashness unfolded before me. Hello, Frederick painting. The horn. We hired down a dusty trail. Feeling draft by the agent. Waltz. At night. A blanket or star sparkle overhead. The most that I have ever seen that's approved magic.
",truthful
New Recording 96.m4a.7024ac2f-b323-4f86-9131-7fb8040ed552.Transcript.txt,"Oh. wow oh. new York was a sensory overload.Caps area. Powering side scripts rating for the sky. On this for from Street windows. I wondered through times square mesmerize by the flashing light on the Broadway dhs. It felt like I was walking through movie.
",truthful
New Recording 2.m4a.fd0c9dc6-7c1d-4e3c-937a-5ee153098cd6.Transcript.txt,"Visiting the U S A for the first time was a Sarah experience.I went to the new Orleans and immersed myself in the city's lively music and delicious catching the French quarter was alive with energy. And experiencing a traditional job performance was unforgettable. It was a trip that is filled with soul and spontaneity. Okay.
",truthful
New Recording 89.m4a.a05fc28b-ac3f-47e9-98ef-73a59738fe57.Transcript.txt,"Oh or London. Andrea. Swing on roller coasters planting down water sites. And encountering movie characters brought my imagination to life. The screams Laufer an Edna wash it was like stepping into a change game.
",truthful
New Recording 86.m4a.e9a89980-8cc9-4a82-b4b4-61d54a101ff6.Transcript.txt,"Stepping of the plan in new York. I was ordered. Skyscrapers Pierce, the cloud. Hello, gas burst and the energy. Crackers. I Jane slice of in square. Dion lights flashing like a disco ball. It was a sensory overload. But totally exaggerating.
",truthful
New Recording 98.m4a.b9896081-6015-4d76-b8a5-88c7485da809.Transcript.txt,"New Orleans was a flower exposure. The room of combo shimmering Street ports the suite big net, the Street with powder sugar and the smoky taste of jazz.Barbecue. I wondered through the French quarter sampling. Every delicious bite. I could find. It Was a fish for all senses.
",truthful
New Recording 97.m4a.62e003ef-da61-466a-8cb2-481187f23b7e.Transcript.txt,"Oh sure Mike. Crystal clear waterfalls cascading down granite. James Gregory reaching hundreds of feet tall. On the in the air. I had through powering forest feeling draft by the National beauty. It was like stepping down in your postcard come to life.
",truthful
New Recording 1.m4a.809923f1-29f8-49df-8b0b-c1524675e1ba.Transcript.txt,"I'm here to talk about my first trip to the U S E landing in Boston messages, it's fells lights shipping back in time the Coble stone streets.The colonial architecture and the rich color Hardage they're.Truly enchanting.Exploring the historic sites along the freedom trial visiting world plus museums like the minimum finance for some of the highest of my trip.The U S blend of old world charm and motor renovation left me inspired.
",truthful
New Recording 93.m4a.a4cd64f2-ca0b-489e-b1a1-f10a91a34867.Transcript.txt,"How is Peter. Soft sand ticking Midas cirque slapped at the shore. And the palm trees wording. The breeze. Storing in coral reefs I'm at colorful fish. And played with see details. By those phones.
",truthful
New Recording 81.m4a.73e6a7d0-3058-4f5c-b072-801bb6682303.Transcript.txt,"Camping in Valley feels like being on another planet. Sand June stripping searching for miles a sky full of starts a complete silence at night. It was a challenge. But seeing the sunrise over the desert was an affordable experiencing. This whole trip.
",truthful
New Recording 83.m4a.880e392e-3dbb-4ab6-88e3-9e952e4e0ecc.Transcript.txt,"Visiting it reservation. And Arizona opened my eyes to a different way of life. We learned about the traditions South standing patrol lapse and even go to try Fry breed. It was a remainder of the reach cultural pantry. That makeup the U S E.
",truthful
New Recording 95.m4a.494d1c57-fa32-4ae9-9e1a-07de1661772a.Transcript.txt,"National, life music seen blue Mary. Hockey Tonks Park Street country.
Regents Street performance screw Kroon soul, meris under Grand Cooper stage accord with legends every corner has the musical Jim. I left wanting to learn gator myself.
",truthful
New Recording 92.m4a.f542b0a7-2269-4699-bff7-281b2e839712.Transcript.txt,"The first snow flakes falling on my face in Vermont were pure magic. Be bundled up in courses. Sweaters shipped hot, cocoa by cracking fireplace. And when's kind down snow covered mountains. It was a winter postcard come to life.
",truthful
New Recording 84.m4a.5fe57756-df73-4062-b91f-cee988280975.Transcript.txt,"Our family troll trip down the California coast was pure adventure. Free stop that quickly, roadside attractions. Sam along to cheesy music. And slept under the stars. It wasn't always perfect. But the memories are priceless.
",truthful
New Recording 94.m4a.72d35a65-259d-4078-8751-73d9d698c556.Transcript.txt,"Washington.DC was a treasured drove American history. Exploring the mystery capital building walking through the apartment Arlington National symmetry. And visiting iconic. Rome monuments like the Lincoln memo oil filled me with all. It was a powerful reminder of America Legacy.
",truthful
New Recording 91.m4a.0d9f36bd-608c-4b0c-a6c2-dfe16fcfa56b.Transcript.txt,"Texas.Hospitality, warned, my, heart. Folks, gator, me, very, friendly, and, smiles, and, all, come back. We drove horses through rolling Hills. Barbecue. It was a taste of true southern charm.
",truthful
New Recording 3.m4a.051eea07-0510-4ece-9bfb-0cf20d430518.Transcript.txt,"My first trip to the U S E was an adventure from start to the finish. I traveled to Seattle and was enchanted by the city's natural beauty and vibrant culture exploring Pike place market. And watching the sunset over packets on wear highlights of the of the trip. It was an experience that ignited Milo for travel.
",truthful
